state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta
johor,primary,both,2016,99.06,98.37,0.6899999999999977,2017,99.14,1.0700000000000074,0.0799999999999983
johor,primary,both,2017,99.14,98.07,1.0700000000000074,2018,97.56,-0.10999999999999943,-1.5799999999999983
johor,primary,both,2018,97.56,97.67,-0.10999999999999943,2019,97.7,-0.29999999999999716,0.14000000000000057
johor,primary,both,2019,97.7,98.0,-0.29999999999999716,2020,98.2,-0.20000000000000284,0.5
johor,primary,both,2020,98.2,98.4,-0.20000000000000284,2021,95.5,-3.5,-2.700000000000003
johor,primary,both,2021,95.5,99.0,-3.5,2022,99.0,-0.29999999999999716,3.5
johor,primary,both,2022,99.0,99.3,-0.29999999999999716,2023,,,
johor,secondary_lower,both,2016,94.7645,95.582,-0.8174999999999955,2017,99.5251,1.7999999999999972,4.760599999999997
johor,secondary_lower,both,2017,99.5251,97.7251,1.7999999999999972,2018,99.6891,3.051400000000001,0.16400000000000148
johor,secondary_lower,both,2018,99.6891,96.6377,3.051400000000001,2019,95.2,-1.5,-4.489099999999993
johor,secondary_lower,both,2019,95.2,96.7,-1.5,2020,96.9,-0.8999999999999915,1.7000000000000028
johor,secondary_lower,both,2020,96.9,97.8,-0.8999999999999915,2021,97.9,-1.8999999999999915,1.0
johor,secondary_lower,both,2021,97.9,99.8,-1.8999999999999915,2022,100.1,1.0999999999999943,2.1999999999999886
johor,secondary_lower,both,2022,100.1,99.0,1.0999999999999943,2023,,,
johor,secondary_upper,both,2016,99.5156,99.2484,0.26720000000000255,2017,99.2906,2.9099999999999966,-0.22500000000000853
johor,secondary_upper,both,2017,99.2906,96.3806,2.9099999999999966,2018,93.7421,-1.888600000000011,-5.548500000000004
johor,secondary_upper,both,2018,93.7421,95.6307,-1.888600000000011,2019,98.0,0.5,4.2579000000000065
johor,secondary_upper,both,2019,98.0,97.5,0.5,2020,89.2,-3.5999999999999943,-8.799999999999997
johor,secondary_upper,both,2020,89.2,92.8,-3.5999999999999943,2021,97.0,-0.7999999999999972,7.799999999999997
johor,secondary_upper,both,2021,97.0,97.8,-0.7999999999999972,2022,98.1,-1.1000000000000085,1.0999999999999943
johor,secondary_upper,both,2022,98.1,99.2,-1.1000000000000085,2023,,,
kedah,primary,both,2016,99.97,98.37,1.5999999999999943,2017,100.12,2.0500000000000114,0.15000000000000568
kedah,primary,both,2017,100.12,98.07,2.0500000000000114,2018,100.34,2.6700000000000017,0.21999999999999886
kedah,primary,both,2018,100.34,97.67,2.6700000000000017,2019,100.2,2.200000000000003,-0.14000000000000057
kedah,primary,both,2019,100.2,98.0,2.200000000000003,2020,100.1,1.6999999999999886,-0.10000000000000853
kedah,primary,both,2020,100.1,98.4,1.6999999999999886,2021,97.2,-1.7999999999999972,-2.8999999999999915
kedah,primary,both,2021,97.2,99.0,-1.7999999999999972,2022,101.1,1.7999999999999972,3.8999999999999915
kedah,primary,both,2022,101.1,99.3,1.7999999999999972,2023,,,
kedah,secondary_lower,both,2016,95.9472,95.582,0.3652000000000015,2017,97.3087,-0.4163999999999959,1.3615000000000066
kedah,secondary_lower,both,2017,97.3087,97.7251,-0.4163999999999959,2018,96.3721,-0.26559999999999206,-0.9365999999999985
kedah,secondary_lower,both,2018,96.3721,96.6377,-0.26559999999999206,2019,96.1,-0.6000000000000085,-0.2721000000000089
kedah,secondary_lower,both,2019,96.1,96.7,-0.6000000000000085,2020,96.8,-1.0,0.7000000000000028
kedah,secondary_lower,both,2020,96.8,97.8,-1.0,2021,100.3,0.5,3.5
kedah,secondary_lower,both,2021,100.3,99.8,0.5,2022,99.4,0.4000000000000057,-0.8999999999999915
kedah,secondary_lower,both,2022,99.4,99.0,0.4000000000000057,2023,,,
kedah,secondary_upper,both,2016,99.0933,99.2484,-0.15510000000000446,2017,97.451,1.0703999999999922,-1.6423000000000059
